Dateiname,Größe (MB),Typ,Link
BGM_Podcast_Fallstudie_ESport_Braxmeier.aup3,69.58984375,application/octet-stream,https://drive.google.com/file/d/19UPWa_Zd7frmYcOyyVA-fgaFWikdcZqb/view?usp=drivesdk
Meine Bibliothek.rdf,26.04868507385254,application/rdf+xml,https://drive.google.com/file/d/1OPY59e9KH_9_wOwE7Qb_pG96DXq4_XE4/view?usp=drivesdk
pubmed-educationM-set.nbib,17.40091609954834,application/octet-stream,https://drive.google.com/file/d/1l-5RA-X2qd6A5viy8nFvNAmsMpV_HAXp/view?usp=drivesdk
Bafögbescheid 24_25.pdf,13.999520301818848,application/pdf,https://drive.google.com/file/d/1Faf0G9dqyw2-cQ5VekZqWES9xhOX6oav/view?usp=drivesdk
Community Health Systems & Widerstand,10.45899486541748,application/vnd.google-apps.presentation,https://docs.google.com/presentation/d/18Eoi9OudAuNYoebkXMaiqCRr3OFlsFRl8rDAwXOI_pg/edit?usp=drivesdk
Fitnesstrainer C-Lizenz Version 1.6.pdf,9.603282928466797,application/pdf,https://drive.google.com/file/d/1WIiZbuQ-Y02W0kBltVFEzmcMi6a1rAfx/view?usp=drivesdk
VR-NRP A development study of a virtual reality simulation for training in the neonatal resuscitation program..pdf,8.76229190826416,application/pdf,https://drive.google.com/file/d/1cT-88uOzBBB8Gab8CX6w8CE0GgGHGJws/view?usp=drivesdk
main.js,8.138862609863281,text/javascript,https://drive.google.com/file/d/1ezSU1rFusymUOcJSXkwEbRmzy-pmjslS/view?usp=drivesdk
main.js,8.094420433044434,text/javascript,https://drive.google.com/file/d/1W_jp3M0Gb0g3Z4QGeQ0bhXB4MKxV7jXS/view?usp=drivesdk
Chang CL - 2022 - Effect of Immersive Virtual Reality on Post-Baccalaureate Nursing Students' In-Dwelling Urinary Cath.pdf,7.8938751220703125,application/pdf,https://drive.google.com/file/d/1IOpBHgHifDT-tKKzSz5V_SdoaO6vyVzd/view?usp=drivesdk
